Tuesday 15 May 2018 [12:08:37pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:08:41pm] - Time: 0:03:60, Score: 0
Tuesday 15 May 2018 [12:08:41pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:08:44pm] - Time: 0:03:30, Score: 0
Tuesday 15 May 2018 [12:08:44pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:08:58pm] - Time: 0:13:62, Score: 0
Tuesday 15 May 2018 [12:08:58pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:09:01pm] - Time: 0:03:15, Score: 0
Tuesday 15 May 2018 [12:09:01pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:09:16pm] - Time: 0:15:79, Score: 0
Tuesday 15 May 2018 [12:09:16pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:09:44pm] - Time: 0:27:76, Score: 1
Tuesday 15 May 2018 [12:09:44pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:09:58pm] - Time: 0:13:52, Score: 2
Tuesday 15 May 2018 [12:10:11pm] - Time: 0:13:34, Score: 0
Tuesday 15 May 2018 [12:10:11pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:11pm] - Time: 0:00:30, Score: 0
Tuesday 15 May 2018 [12:10:11pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:13pm] - Time: 0:01:56, Score: 0
Tuesday 15 May 2018 [12:10:13pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:35pm] - Time: 0:21:91, Score: 0
Tuesday 15 May 2018 [12:10:35pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:35pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:10:35pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:46pm] - Time: 0:10:69, Score: 0
Tuesday 15 May 2018 [12:10:46pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:46pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:10:46pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:52pm] - Time: 0:06:18, Score: 0
Tuesday 15 May 2018 [12:10:52pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:53pm] - Time: 0:00:98, Score: 0
Tuesday 15 May 2018 [12:10:53pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:10:53pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:10:53pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:11:30pm] - Time: 0:37:1, Score: 3
Tuesday 15 May 2018 [12:11:31pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:11:31pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:11:53pm] - Time: 0:22:31, Score: 0
Tuesday 15 May 2018 [12:11:53pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:11:57pm] - Time: 0:03:59, Score: 0
Tuesday 15 May 2018 [12:11:57pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:11:57pm] - Time: 0:00:33, Score: 0
Tuesday 15 May 2018 [12:11:57pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:09pm] - Time: 0:11:71, Score: 0
Tuesday 15 May 2018 [12:12:09pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:09pm] - Time: 0:00:30, Score: 0
Tuesday 15 May 2018 [12:12:09pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:11pm] - Time: 0:01:58, Score: 0
Tuesday 15 May 2018 [12:12:11pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:11pm] - Time: 0:00:23, Score: 0
Tuesday 15 May 2018 [12:12:11pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:13pm] - Time: 0:01:79, Score: 0
Tuesday 15 May 2018 [12:12:13pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:14pm] - Time: 0:01:25, Score: 0
Tuesday 15 May 2018 [12:12:14pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:21pm] - Time: 0:06:69, Score: 0
Tuesday 15 May 2018 [12:12:21pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:25pm] - Time: 0:04:63, Score: 0
Tuesday 15 May 2018 [12:12:25pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:27pm] - Time: 0:01:79, Score: 0
Tuesday 15 May 2018 [12:12:27pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:29pm] - Time: 0:02:1, Score: 0
Tuesday 15 May 2018 [12:12:29pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:29pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:12:29pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:39pm] - Time: 0:09:56, Score: 1
Tuesday 15 May 2018 [12:12:39pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:12:49pm] - Time: 0:09:99, Score: 0
Tuesday 15 May 2018 [12:12:49pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:08pm] - Time: 0:19:67, Score: 1
Tuesday 15 May 2018 [12:13:08pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:20pm] - Time: 0:11:26, Score: 1
Tuesday 15 May 2018 [12:13:20pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:21pm] - Time: 0:01:12, Score: 0
Tuesday 15 May 2018 [12:13:21pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:21pm] - Time: 0:00:30, Score: 0
Tuesday 15 May 2018 [12:13:21pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:47pm] - Time: 0:25:35, Score: 1
Tuesday 15 May 2018 [12:13:47pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:13:59pm] - Time: 0:12:1, Score: 0
Tuesday 15 May 2018 [12:13:59pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:10pm] - Time: 0:11:81, Score: 0
Tuesday 15 May 2018 [12:14:10pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:12pm] - Time: 0:01:49, Score: 0
Tuesday 15 May 2018 [12:14:12pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:12pm] - Time: 0:00:19, Score: 0
Tuesday 15 May 2018 [12:14:12pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:15pm] - Time: 0:03:19, Score: 1
Tuesday 15 May 2018 [12:14:15pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:20pm] - Time: 0:04:77, Score: 0
Tuesday 15 May 2018 [12:14:20pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:21pm] - Time: 0:00:94, Score: 0
Tuesday 15 May 2018 [12:14:21pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:23pm] - Time: 0:02:27, Score: 0
Tuesday 15 May 2018 [12:14:23pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:24pm] - Time: 0:00:85, Score: 0
Tuesday 15 May 2018 [12:14:24pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:26pm] - Time: 0:01:83, Score: 0
Tuesday 15 May 2018 [12:14:26pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:27pm] - Time: 0:00:67, Score: 0
Tuesday 15 May 2018 [12:14:27pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:31pm] - Time: 0:04:55, Score: 1
Tuesday 15 May 2018 [12:14:31pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:33pm] - Time: 0:01:96, Score: 0
Tuesday 15 May 2018 [12:14:33pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:38pm] - Time: 0:04:32, Score: 0
Tuesday 15 May 2018 [12:14:38pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:51pm] - Time: 0:13:12, Score: 0
Tuesday 15 May 2018 [12:14:51pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:14:59pm] - Time: 0:08:34, Score: 0
Tuesday 15 May 2018 [12:14:59pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:12pm] - Time: 0:13:9, Score: 0
Tuesday 15 May 2018 [12:15:12pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:14pm] - Time: 0:01:89, Score: 0
Tuesday 15 May 2018 [12:15:14pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:15pm] - Time: 0:01:41, Score: 0
Tuesday 15 May 2018 [12:15:15pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:16pm] - Time: 0:00:50, Score: 0
Tuesday 15 May 2018 [12:15:16pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:19pm] - Time: 0:03:26, Score: 0
Tuesday 15 May 2018 [12:15:19pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:22pm] - Time: 0:02:44, Score: 0
Tuesday 15 May 2018 [12:15:22pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:25pm] - Time: 0:03:30, Score: 0
Tuesday 15 May 2018 [12:15:25pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:28pm] - Time: 0:02:61, Score: 0
Tuesday 15 May 2018 [12:15:28pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:28pm] - Time: 0:00:33, Score: 0
Tuesday 15 May 2018 [12:15:28pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:30pm] - Time: 0:01:75, Score: 0
Tuesday 15 May 2018 [12:15:30pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:34pm] - Time: 0:04:48, Score: 0
Tuesday 15 May 2018 [12:15:34pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:40pm] - Time: 0:05:57, Score: 0
Tuesday 15 May 2018 [12:15:40pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:49pm] - Time: 0:09:66, Score: 1
Tuesday 15 May 2018 [12:15:49pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:53pm] - Time: 0:03:26, Score: 0
Tuesday 15 May 2018 [12:15:53pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:55pm] - Time: 0:01:83, Score: 0
Tuesday 15 May 2018 [12:15:55pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:15:57pm] - Time: 0:02:75, Score: 0
Tuesday 15 May 2018 [12:15:57pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:12pm] - Time: 0:14:90, Score: 2
Tuesday 15 May 2018 [12:16:16pm] - Time: 0:03:26, Score: 0
Tuesday 15 May 2018 [12:16:16pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:22pm] - Time: 0:06:57, Score: 0
Tuesday 15 May 2018 [12:16:22pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:27pm] - Time: 0:04:49, Score: 0
Tuesday 15 May 2018 [12:16:27pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:30pm] - Time: 0:03:40, Score: 0
Tuesday 15 May 2018 [12:16:30pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:34pm] - Time: 0:03:99, Score: 0
Tuesday 15 May 2018 [12:16:34pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:16:34pm] - Time: 0:00:19, Score: 0
Tuesday 15 May 2018 [12:16:34pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:17:20pm] - Time: 0:45:62, Score: 1
Tuesday 15 May 2018 [12:17:20pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:17:23pm] - Time: 0:02:75, Score: 0
Tuesday 15 May 2018 [12:17:23pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:17:43pm] - Time: 0:20:64, Score: 2
Tuesday 15 May 2018 [12:18:07pm] - Time: 0:24:22, Score: 1
Tuesday 15 May 2018 [12:18:07pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:09pm] - Time: 0:01:5, Score: 0
Tuesday 15 May 2018 [12:18:09pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:15pm] - Time: 0:06:74, Score: 0
Tuesday 15 May 2018 [12:18:15pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:16pm] - Time: 0:00:30, Score: 0
Tuesday 15 May 2018 [12:18:16pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:20pm] - Time: 0:04:69, Score: 0
Tuesday 15 May 2018 [12:18:20pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:21pm] - Time: 0:01:15, Score: 0
Tuesday 15 May 2018 [12:18:21pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:18:25pm] - Time: 0:03:26, Score: 0
Tuesday 15 May 2018 [12:18:25pm] - Time: 0:00:0, Score: 0
